,Account,Network,Text,Date,Positive,Neutral,Negative,Compound
214,@CNN,CNN,"Han Solo's jacket -- the one worn by Harrison Ford in the Star Wars Film ""The Empire Strikes Back"" -- could fetch o… https://t.co/V04ToppD3s",Thu Aug 02 06:07:04 +0000 2018,0.0,0.717,0.283,-0.8074
215,@CNN,CNN,Among the attendees of President Trump's rally in Florida were people holding up signs promoting an online right-wi… https://t.co/qMcKtBSNAj,Thu Aug 02 06:14:02 +0000 2018,0.122,0.878,0.0,0.3612
216,@FoxNews,Fox News,".@SteveHiltonx: ""You hear the critics of @POTUS say, 'He's starting this trade war.' No, it was @BillClinton who st… https://t.co/Om1LIjeo7Q",Thu Aug 02 06:15:00 +0000 2018,0.0,0.804,0.196,-0.5267
217,@CNN,CNN,Texans can now hitch a ride in this self-driving car as part of a pilot ride-sharing program https://t.co/dt3rPGLXtv https://t.co/YnfC6NmMdR,Thu Aug 02 06:16:00 +0000 2018,0.0,1.0,0.0,0.0
218,@CNN,CNN,"Hundreds of demonstrators gathered in Copenhagen, Denmark, wearing burqas and other face veils to protest a law aga… https://t.co/XDDbLCogpI",Thu Aug 02 06:21:04 +0000 2018,0.0,0.895,0.105,-0.25
219,@FoxNews,Fox News,USC facing 300 plaintiffs in lawsuit against ex-gynecologist; faculty wants embattled president gone https://t.co/ipihz9AnxJ,Thu Aug 02 06:23:00 +0000 2018,0.0,0.872,0.128,-0.2263
220,@CNN,CNN,Housing and rates are worrying some economists that a recession is looming https://t.co/t5OMkCB0JT https://t.co/wu3q3NBFwI,Thu Aug 02 06:28:06 +0000 2018,0.0,0.599,0.401,-0.6908
221,@FoxNews,Fox News,"No evidence of shots fired at California hospital, police say https://t.co/irJGvtwjqc",Thu Aug 02 06:29:45 +0000 2018,0.0,0.608,0.392,-0.7003
222,@FoxNews,Fox News,A little girl in Northern California is doing what she can to help firefighters battling the deadly Carr Fire.… https://t.co/bkn5BcAWE9,Thu Aug 02 06:30:00 +0000 2018,0.124,0.78,0.096,0.1531
223,@nytimes,The New York Times,"RT @NYTScience: New Ebola outbreak hits the Democratic Republic of Congo, leaving at least 20 dead, one week after the last outbreak was de…",Thu Aug 02 06:32:04 +0000 2018,0.0,0.842,0.158,-0.6486
